"symbol","date","open","high","low","close","volume","adjusted","vol_change","return","gap_type","gap_size","range","weekday","month","candle_body_metric","vol_change_lag-10","return_lag-10","range_lag-10","weekday_lag-10","month_lag-10","candle_body_metric_lag-10","vol_change_lag-9","return_lag-9","range_lag-9","weekday_lag-9","month_lag-9","candle_body_metric_lag-9","vol_change_lag-8","return_lag-8","range_lag-8","weekday_lag-8","month_lag-8","candle_body_metric_lag-8","vol_change_lag-7","return_lag-7","range_lag-7","weekday_lag-7","month_lag-7","candle_body_metric_lag-7","vol_change_lag-6","return_lag-6","range_lag-6","weekday_lag-6","month_lag-6","candle_body_metric_lag-6","vol_change_lag-5","return_lag-5","range_lag-5","weekday_lag-5","month_lag-5","candle_body_metric_lag-5","vol_change_lag-4","return_lag-4","range_lag-4","weekday_lag-4","month_lag-4","candle_body_metric_lag-4","vol_change_lag-3","return_lag-3","range_lag-3","weekday_lag-3","month_lag-3","candle_body_metric_lag-3","vol_change_lag-2","return_lag-2","range_lag-2","weekday_lag-2","month_lag-2","candle_body_metric_lag-2","vol_change_lag-1","return_lag-1","range_lag-1","weekday_lag-1","month_lag-1","candle_body_metric_lag-1","vol_change_lag1","return_lag1","range_lag1","weekday_lag1","month_lag1","candle_body_metric_lag1","vol_change_lag2","return_lag2","range_lag2","weekday_lag2","month_lag2","candle_body_metric_lag2","vol_change_lag3","return_lag3","range_lag3","weekday_lag3","month_lag3","candle_body_metric_lag3","vol_change_lag4","return_lag4","range_lag4","weekday_lag4","month_lag4","candle_body_metric_lag4","vol_change_lag5","return_lag5","range_lag5","weekday_lag5","month_lag5","candle_body_metric_lag5","vol_change_lag6","return_lag6","range_lag6","weekday_lag6","month_lag6","candle_body_metric_lag6","vol_change_lag7","return_lag7","range_lag7","weekday_lag7","month_lag7","candle_body_metric_lag7","vol_change_lag8","return_lag8","range_lag8","weekday_lag8","month_lag8","candle_body_metric_lag8","vol_change_lag9","return_lag9","range_lag9","weekday_lag9","month_lag9","candle_body_metric_lag9","vol_change_lag10","return_lag10","range_lag10","weekday_lag10","month_lag10","candle_body_metric_lag10"
"SOV","2008-01-11","23.969999","23.969999","23.969999","23.969999","0","23.969999","-1","0.0020902591973244","UP","0.0020902591973244","0","5","1","0","-1","-0.0188182160331201","0","1","1","0","Inf","-0.0137342608116458","0","5","1","0","-1","0.0902469482091035","0","4","1","0","116.822097378277","0.00610749210535385","0","3","1","0","Inf","0.00040733199215208","0","2","1","0","-1","-0.00284329801611295","0","5","1","0","2.75","0.0449915978349573","0","4","1","0","7","-0.0162840076708138","0","3","1","0","-0.998260869565217","0.00335148708204922","0","2","1","0","Inf","-0.0041717982549771","0","1","1","0","149","0.00293501048218031","0","4","1","0","-0.775","-0.0494220805101633","0","3","1","0","-0.9","0.00319872051179521","0","2","1","0","Inf","-0.0203682326530264","0","1","1","0","-1","-0.0610518550550991","0","5","1","0","19","0","0","4","1","0","-0.922330097087379","0.467516530879564","0","3","1","0","2574","-0.34898448169306","0","1","12","0.00241309735886441","-0.99999","-0.038838296560679","0","5","12","0","Inf","0.617617299512295","0","4","12","0"
"SOV","2008-01-14","23.870001","23.870001","23.870001","23.870001","115000","23.870001","Inf","-0.0041717982549771","DOWN","-0.0041717982549771","0","1","1","0","Inf","0.0341388185654008","0","2","1","0","-1","-0.0188182160331201","0","1","1","0","Inf","-0.0137342608116458","0","5","1","0","-1","0.0902469482091035","0","4","1","0","116.822097378277","0.00610749210535385","0","3","1","0","Inf","0.00040733199215208","0","2","1","0","-1","-0.00284329801611295","0","5","1","0","2.75","0.0449915978349573","0","4","1","0","7","-0.0162840076708138","0","3","1","0","-0.998260869565217","0.00335148708204922","0","2","1","0","-1","0.0020902591973244","0","5","1","0","149","0.00293501048218031","0","4","1","0","-0.775","-0.0494220805101633","0","3","1","0","-0.9","0.00319872051179521","0","2","1","0","Inf","-0.0203682326530264","0","1","1","0","-1","-0.0610518550550991","0","5","1","0","19","0","0","4","1","0","-0.922330097087379","0.467516530879564","0","3","1","0","2574","-0.34898448169306","0","1","12","0.00241309735886441","-0.99999","-0.038838296560679","0","5","12","0"
"SOV","2008-01-15","23.950001","23.950001","23.950001","23.950001","200","23.950001","-0.998260869565217","0.00335148708204922","UP","0.00335148708204922","0","2","1","0","-1","-0.0185459947531897","0","3","1","0","Inf","0.0341388185654008","0","2","1","0","-1","-0.0188182160331201","0","1","1","0","Inf","-0.0137342608116458","0","5","1","0","-1","0.0902469482091035","0","4","1","0","116.822097378277","0.00610749210535385","0","3","1","0","Inf","0.00040733199215208","0","2","1","0","-1","-0.00284329801611295","0","5","1","0","2.75","0.0449915978349573","0","4","1","0","7","-0.0162840076708138","0","3","1","0","Inf","-0.0041717982549771","0","1","1","0","-1","0.0020902591973244","0","5","1","0","149","0.00293501048218031","0","4","1","0","-0.775","-0.0494220805101633","0","3","1","0","-0.9","0.00319872051179521","0","2","1","0","Inf","-0.0203682326530264","0","1","1","0","-1","-0.0610518550550991","0","5","1","0","19","0","0","4","1","0","-0.922330097087379","0.467516530879564","0","3","1","0","2574","-0.34898448169306","0","1","12","0.00241309735886441"
"SOV","2008-03-19","26.299999","26.299999","26.299999","26.299999","5","26.299999","-0.970588235294118","0.0444797061159651","UP","0.0444797061159651","0","3","3","0","-1","0.00879043569653883","0","4","4","0","44.332","0.0533333703703703","0","3","4","0","-0.5","0.0242791720683167","0","2","4","0","17.5185185185185","-0.00603314479638006","0","1","3","0","-0.920588235294118","-0.0228444739441589","0","5","3","0","Inf","-0.0145244003440668","0","4","3","0","-1","-0.0275423375706215","0","3","3","0","Inf","1.80676716320281","0","2","3","0","-1","-0.619249056603774","0","1","3","0","3999","0.00760460104960461","0","4","3","0","1.26666666666667","-0.00356153541749109","0","2","3","0","Inf","-0.0354962200192283","0","1","3","0","-1","0.037623801980198","0","5","3","0","689","-0.0178918326679048","0","4","3","0","-0.999925","0.0615194079900663","0","3","3","0","0.538461538461538","0.00790669962935094","0","2","3","0","6.51445086705202","0.0160676955602537","0","1","3","0","17299","-0.0417341977309563","0","5","3","0","-0.9995","-0.0167330677290837","0","4","3","0","Inf","-0.0233463415040334","0","3","3","0"
"SOV","2008-05-16","29.110001","29.110001","29.110001","29.110001","28120","29.110001","237.305084745763","0.0257224110543485","UP","0.0257224110543485","0","5","5","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","2.425","0.0132332265104873","0","5","5","0","7","0.00938620904742926","0","4","5","0","-0.975012493753123","0.0244082831209955","0","3","5","0","12.7054794520548","-0.00807039618488633","0","2","5","0","Inf","-0.00109934037745175","0","5","5","0","-1","-0.0274411271361771","0","4","5","0","17165.7","-0.0185379853095487","0","3","5","0","-0.8","0.00175189201990566","0","2","5","0","-0.98221906116643","-0.0195808993617005","0","1","5","0","-0.99882","-0.0220537904893176","0","4","5","0","499","0.0261668661185691","0","3","5","0","-0.5","0.00676400854396578","0","2","5","0","Inf","0.00285612281328091","0","1","5","0","-1","-0.0182264627330366","0","5","5","0","-0.944444444444444","-0.00140003500175015","0","4","5","0","14","0.00492437565951462","0","3","5","0","-0.988","-0.0111304347826087","0","2","5","0","49","0.00454224302787416","0","1","5","0","Inf","2.23761527357961","0","5","5","0"
"SOV","2008-05-19","28.540001","28.540001","28.540001","28.540001","500","28.540001","-0.98221906116643","-0.0195808993617005","DOWN","-0.0195808993617005","0","1","5","0","0.54639175257732","-0.0259140575079873","0","2","6","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","2.425","0.0132332265104873","0","5","5","0","7","0.00938620904742926","0","4","5","0","-0.975012493753123","0.0244082831209955","0","3","5","0","12.7054794520548","-0.00807039618488633","0","2","5","0","Inf","-0.00109934037745175","0","5","5","0","-1","-0.0274411271361771","0","4","5","0","17165.7","-0.0185379853095487","0","3","5","0","-0.8","0.00175189201990566","0","2","5","0","237.305084745763","0.0257224110543485","0","5","5","0","-0.99882","-0.0220537904893176","0","4","5","0","499","0.0261668661185691","0","3","5","0","-0.5","0.00676400854396578","0","2","5","0","Inf","0.00285612281328091","0","1","5","0","-1","-0.0182264627330366","0","5","5","0","-0.944444444444444","-0.00140003500175015","0","4","5","0","14","0.00492437565951462","0","3","5","0","-0.988","-0.0111304347826087","0","2","5","0","49","0.00454224302787416","0","1","5","0"
"SOV","2008-05-20","28.59","28.59","28.59","28.59","100","28.59","-0.8","0.00175189201990566","UP","0.00175189201990566","0","2","5","0","2.13333333333333","0.00874631892323914","0","3","6","0","0.54639175257732","-0.0259140575079873","0","2","6","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","2.425","0.0132332265104873","0","5","5","0","7","0.00938620904742926","0","4","5","0","-0.975012493753123","0.0244082831209955","0","3","5","0","12.7054794520548","-0.00807039618488633","0","2","5","0","Inf","-0.00109934037745175","0","5","5","0","-1","-0.0274411271361771","0","4","5","0","17165.7","-0.0185379853095487","0","3","5","0","-0.98221906116643","-0.0195808993617005","0","1","5","0","237.305084745763","0.0257224110543485","0","5","5","0","-0.99882","-0.0220537904893176","0","4","5","0","499","0.0261668661185691","0","3","5","0","-0.5","0.00676400854396578","0","2","5","0","Inf","0.00285612281328091","0","1","5","0","-1","-0.0182264627330366","0","5","5","0","-0.944444444444444","-0.00140003500175015","0","4","5","0","14","0.00492437565951462","0","3","5","0","-0.988","-0.0111304347826087","0","2","5","0"
"SOV","2008-05-21","28.059999","28.059999","28.059999","28.059999","1716670","28.059999","17165.7","-0.0185379853095487","DOWN","-0.0185379853095487","0","3","5","0","26.6595744680851","0.023121387283237","0","4","6","0","2.13333333333333","0.00874631892323914","0","3","6","0","0.54639175257732","-0.0259140575079873","0","2","6","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","2.425","0.0132332265104873","0","5","5","0","7","0.00938620904742926","0","4","5","0","-0.975012493753123","0.0244082831209955","0","3","5","0","12.7054794520548","-0.00807039618488633","0","2","5","0","Inf","-0.00109934037745175","0","5","5","0","-1","-0.0274411271361771","0","4","5","0","-0.8","0.00175189201990566","0","2","5","0","-0.98221906116643","-0.0195808993617005","0","1","5","0","237.305084745763","0.0257224110543485","0","5","5","0","-0.99882","-0.0220537904893176","0","4","5","0","499","0.0261668661185691","0","3","5","0","-0.5","0.00676400854396578","0","2","5","0","Inf","0.00285612281328091","0","1","5","0","-1","-0.0182264627330366","0","5","5","0","-0.944444444444444","-0.00140003500175015","0","4","5","0","14","0.00492437565951462","0","3","5","0"
"SOV","2008-05-22","27.290001","27.290001","27.290001","27.290001","0","27.290001","-1","-0.0274411271361771","DOWN","-0.0274411271361771","0","4","5","0","-1","0.0127118644067796","0","5","6","0","26.6595744680851","0.023121387283237","0","4","6","0","2.13333333333333","0.00874631892323914","0","3","6","0","0.54639175257732","-0.0259140575079873","0","2","6","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","2.425","0.0132332265104873","0","5","5","0","7","0.00938620904742926","0","4","5","0","-0.975012493753123","0.0244082831209955","0","3","5","0","12.7054794520548","-0.00807039618488633","0","2","5","0","Inf","-0.00109934037745175","0","5","5","0","17165.7","-0.0185379853095487","0","3","5","0","-0.8","0.00175189201990566","0","2","5","0","-0.98221906116643","-0.0195808993617005","0","1","5","0","237.305084745763","0.0257224110543485","0","5","5","0","-0.99882","-0.0220537904893176","0","4","5","0","499","0.0261668661185691","0","3","5","0","-0.5","0.00676400854396578","0","2","5","0","Inf","0.00285612281328091","0","1","5","0","-1","-0.0182264627330366","0","5","5","0","-0.944444444444444","-0.00140003500175015","0","4","5","0"
"SOV","2008-05-23","27.26","27.26","27.26","27.26","146","27.26","Inf","-0.00109934037745175","DOWN","-0.00109934037745175","0","5","5","0","Inf","-0.0477685146443514","0","1","6","0","-1","0.0127118644067796","0","5","6","0","26.6595744680851","0.023121387283237","0","4","6","0","2.13333333333333","0.00874631892323914","0","3","6","0","0.54639175257732","-0.0259140575079873","0","2","6","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","2.425","0.0132332265104873","0","5","5","0","7","0.00938620904742926","0","4","5","0","-0.975012493753123","0.0244082831209955","0","3","5","0","12.7054794520548","-0.00807039618488633","0","2","5","0","-1","-0.0274411271361771","0","4","5","0","17165.7","-0.0185379853095487","0","3","5","0","-0.8","0.00175189201990566","0","2","5","0","-0.98221906116643","-0.0195808993617005","0","1","5","0","237.305084745763","0.0257224110543485","0","5","5","0","-0.99882","-0.0220537904893176","0","4","5","0","499","0.0261668661185691","0","3","5","0","-0.5","0.00676400854396578","0","2","5","0","Inf","0.00285612281328091","0","1","5","0","-1","-0.0182264627330366","0","5","5","0"
"SOV","2008-05-27","27.040001","27.040001","27.040001","27.040001","2001","27.040001","12.7054794520548","-0.00807039618488633","DOWN","-0.00807039618488633","0","2","5","0","43.4444444444444","0.00549249379320734","0","2","6","0","Inf","-0.0477685146443514","0","1","6","0","-1","0.0127118644067796","0","5","6","0","26.6595744680851","0.023121387283237","0","4","6","0","2.13333333333333","0.00874631892323914","0","3","6","0","0.54639175257732","-0.0259140575079873","0","2","6","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","2.425","0.0132332265104873","0","5","5","0","7","0.00938620904742926","0","4","5","0","-0.975012493753123","0.0244082831209955","0","3","5","0","Inf","-0.00109934037745175","0","5","5","0","-1","-0.0274411271361771","0","4","5","0","17165.7","-0.0185379853095487","0","3","5","0","-0.8","0.00175189201990566","0","2","5","0","-0.98221906116643","-0.0195808993617005","0","1","5","0","237.305084745763","0.0257224110543485","0","5","5","0","-0.99882","-0.0220537904893176","0","4","5","0","499","0.0261668661185691","0","3","5","0","-0.5","0.00676400854396578","0","2","5","0","Inf","0.00285612281328091","0","1","5","0"
"SOV","2008-05-28","27.700001","27.700001","27.700001","27.700001","50","27.700001","-0.975012493753123","0.0244082831209955","UP","0.0244082831209955","0","3","5","0","-1","0.0120175532417172","0","3","6","0","43.4444444444444","0.00549249379320734","0","2","6","0","Inf","-0.0477685146443514","0","1","6","0","-1","0.0127118644067796","0","5","6","0","26.6595744680851","0.023121387283237","0","4","6","0","2.13333333333333","0.00874631892323914","0","3","6","0","0.54639175257732","-0.0259140575079873","0","2","6","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","2.425","0.0132332265104873","0","5","5","0","7","0.00938620904742926","0","4","5","0","12.7054794520548","-0.00807039618488633","0","2","5","0","Inf","-0.00109934037745175","0","5","5","0","-1","-0.0274411271361771","0","4","5","0","17165.7","-0.0185379853095487","0","3","5","0","-0.8","0.00175189201990566","0","2","5","0","-0.98221906116643","-0.0195808993617005","0","1","5","0","237.305084745763","0.0257224110543485","0","5","5","0","-0.99882","-0.0220537904893176","0","4","5","0","499","0.0261668661185691","0","3","5","0","-0.5","0.00676400854396578","0","2","5","0"
"SOV","2008-05-29","27.959999","27.959999","27.959999","27.959999","400","27.959999","7","0.00938620904742926","UP","0.00938620904742926","0","4","5","0","Inf","-0.0125944579850861","0","4","6","0","-1","0.0120175532417172","0","3","6","0","43.4444444444444","0.00549249379320734","0","2","6","0","Inf","-0.0477685146443514","0","1","6","0","-1","0.0127118644067796","0","5","6","0","26.6595744680851","0.023121387283237","0","4","6","0","2.13333333333333","0.00874631892323914","0","3","6","0","0.54639175257732","-0.0259140575079873","0","2","6","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","2.425","0.0132332265104873","0","5","5","0","-0.975012493753123","0.0244082831209955","0","3","5","0","12.7054794520548","-0.00807039618488633","0","2","5","0","Inf","-0.00109934037745175","0","5","5","0","-1","-0.0274411271361771","0","4","5","0","17165.7","-0.0185379853095487","0","3","5","0","-0.8","0.00175189201990566","0","2","5","0","-0.98221906116643","-0.0195808993617005","0","1","5","0","237.305084745763","0.0257224110543485","0","5","5","0","-0.99882","-0.0220537904893176","0","4","5","0","499","0.0261668661185691","0","3","5","0"
"SOV","2008-05-30","28.33","28.33","28.33","28.33","1370","28.33","2.425","0.0132332265104873","UP","0.0132332265104873","0","5","5","0","1.16","0.00765302450244079","0","5","6","0","Inf","-0.0125944579850861","0","4","6","0","-1","0.0120175532417172","0","3","6","0","43.4444444444444","0.00549249379320734","0","2","6","0","Inf","-0.0477685146443514","0","1","6","0","-1","0.0127118644067796","0","5","6","0","26.6595744680851","0.023121387283237","0","4","6","0","2.13333333333333","0.00874631892323914","0","3","6","0","0.54639175257732","-0.0259140575079873","0","2","6","0","-0.929197080291971","-0.00564772326156006","0","1","6","0","7","0.00938620904742926","0","4","5","0","-0.975012493753123","0.0244082831209955","0","3","5","0","12.7054794520548","-0.00807039618488633","0","2","5","0","Inf","-0.00109934037745175","0","5","5","0","-1","-0.0274411271361771","0","4","5","0","17165.7","-0.0185379853095487","0","3","5","0","-0.8","0.00175189201990566","0","2","5","0","-0.98221906116643","-0.0195808993617005","0","1","5","0","237.305084745763","0.0257224110543485","0","5","5","0","-0.99882","-0.0220537904893176","0","4","5","0"
